kind,method,motion,file,frames,fps,schema
retargeted,Basic IK,124_11,124_11_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,250,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,124_11,124_11_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,250,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,124_11,124_11_poses_unitree_g1_gmr.pkl,248,29.939879759519037,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,135_04,135_04_poses.npz,1316,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,135_04,135_04_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,329,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,135_04,135_04_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,329,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,135_04,135_04_poses_unitree_g1_gmr.pkl,328,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,47_01,47_01_poses.npz,1319,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,47_01,47_01_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,330,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,47_01,47_01_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,330,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,47_01,47_01_poses_unitree_g1_gmr.pkl,328,29.93176648976497,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
reference,Reference,76_10,76_10_poses.npz,1365,120.0,"betas,dmpls,gender,mocap_framerate,poses,trans"
retargeted,Basic IK,76_10,76_10_poses_unitree_g1_unconstrained_ik_gmr_motion_processing.pkl,342,30.0,"actuator_names,body_names,body_pos,body_quat,dt,duration,error_message,fps,joint_names,joint_pos,joint_range,keypoint_names,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qvel,robot,robot_xml,root_pos,root_quat,root_rot,site_names,source_motion,source_motion_file,success,target_joint_pos,timestamps"
retargeted,Direct Mapping,76_10,76_10_poses_unitree_g1_direct_mapping_gmr_motion_processing.pkl,342,30.0,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,head,joint_info,joint_mapping_table,joint_names,joint_range,knee,left_foot,left_hand,left_knee,link_body_list,local_body_pos,metadata,method,motion_name,motion_processing,nq,num_frames,nv,pkl_schema_version,processed_motion_fps,processed_motion_num_frames,qpos,qpos_dim,qpos_names,qvel,right_foot,right_hand,right_knee,robot,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,site_pos,source_body_names,source_body_pos,source_body_quat,source_key_body_pos,source_motion_file,success,terminated,timestamps,warnings"
retargeted,GMR,76_10,76_10_poses_unitree_g1_gmr.pkl,340,29.978021978021978,"actuator_names,body_names,body_pos,body_quat,contacts,dof_joint_names,dof_pos,dt,duration,error_message,fall,foot_names,foot_pos,fps,joint_names,joint_range,link_body_list,local_body_pos,method,motion_name,nq,num_frames,nv,pkl_schema_version,qpos,qpos_dim,qvel,robot,robot_joint_names,robot_xml,root_pos,root_quat,root_rot,self_collision,site_names,source_motion_file,success,terminated,warnings"
